,City,Date,Opponent Team Name,Stadium Name,State
141,Cleveland,2016-09-08T12:10:00,Indians,Progressive Field,OH
142,Houston,2016-09-09T20:10:00,Cubs,Minute Maid Park,TX
143,Houston,2016-09-10T13:05:00,Cubs,Minute Maid Park,TX
144,Houston,2016-09-11T20:05:00,Cubs,Minute Maid Park,TX
145,Houston,2016-09-12T20:10:00,Rangers,Minute Maid Park,TX
146,Houston,2016-09-13T20:10:00,Rangers,Minute Maid Park,TX
147,Houston,2016-09-14T20:10:00,Rangers,Minute Maid Park,TX
148,Seattle,2016-09-16T22:10:00,Mariners,Safeco Field,WA
149,Seattle,2016-09-17T21:10:00,Mariners,Safeco Field,WA
150,Seattle,2016-09-18T16:10:00,Mariners,Safeco Field,WA
151,Oakland,2016-09-19T22:05:00,Athletics,O.co Coliseum,CA
152,Oakland,2016-09-20T22:05:00,Athletics,O.co Coliseum,CA
153,Oakland,2016-09-21T15:35:00,Athletics,O.co Coliseum,CA
154,Houston,2016-09-22T20:10:00,Angels,Minute Maid Park,TX
155,Houston,2016-09-23T20:10:00,Angels,Minute Maid Park,TX
156,Houston,2016-09-24T19:10:00,Angels,Minute Maid Park,TX
157,Houston,2016-09-25T14:10:00,Angels,Minute Maid Park,TX
158,Houston,2016-09-26T20:10:00,Mariners,Minute Maid Park,TX
159,Houston,2016-09-27T20:10:00,Mariners,Minute Maid Park,TX
160,Houston,2016-09-28T14:10:00,Mariners,Minute Maid Park,TX
161,Anaheim,2016-09-30T22:05:00,Angels,Angel Stadium of Anaheim,CA
162,Anaheim,2016-10-01T21:05:00,Angels,Angel Stadium of Anaheim,CA
163,Anaheim,2016-10-02T15:05:00,Angels,Angel Stadium of Anaheim,CA
