,Unnamed: 0,Author,Comments,Date,Ratings,Reviews,Title
3,3,ksmile,One person found this helpful. Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"It is small but mighty. This little flashlight is very bright. It also is light so I can carry in my pocket, purse, or on my belt loop.",Light but bright
4,4,Desertdude,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"Just the right size for pocket, good light ,variable beam great to work with, bottom line for the price you can't lose",You cant lose.
5,5,And,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,I purchased some larger flashlights recently but needed something that was easier to carry daily. I love the size and the build quality. Plus just one AA battery is nice. They are nice and bright and have a cool zoom feature.,Love the daily dealz.
6,6,Only in Virginia,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,What a great price you just can't beat it.,Love em
7,7,Amazon Customer,Was this review helpful to you?, April 10 2018,1.0 out of 5 stars,These are very cheaply made. Once of these broke after 2 uses.,One Star
8,8,David C. Bradford,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,Sturdy little lights that work every time as advertised,Sturdy little lights that work every time as
9,9,James G. Demian,Was this review helpful to you?, April 10 2018,5.0 out of 5 stars,"Wow. Nicely made. Work very well with Li Ion 14500 batteries as well as with AA alkaline (of course dimmer). Not hard to get used to the (stupid) inclusion of Strobe Mode. They automatically cycle from mode to mode each time you turn them off/on with the tail switch. Hint to make your life easier (such as it is): When (not if) it turns on automatically (every third time) in strobe mode, just gently push down slightly once or twice on the switch to make it cycle between modes to get what you want. Instead of ""jumping up and down, screaming and shouting"", just think ZEN thoughts (Ooooommmm. All is beauty) and gently depress the switch.

And think of the amazingness of this: A bright (and cheap and well-made) LED flashlight that operates on one lousy battery at 1 1/2 volts (yes, even cheap light ""heavy duty"" non-alkalines) or an NiMH rechargeable at 1.35 volts and yet is still not destroyed by 3.7 volt Li Ion's. Would I be as enthusiastic if I'd not got them on sale at 6.99? Well, maybe a little less because the competition in quantity goes for about $3 to $4 per, and if I buy 5 or 6, I'd be giving away a few to friends and that would be even more fun.

One little nit-picky thing: the ""Two Fluorescent Rings Which Shine in the Dark Night"" (not fluorescent but phosphorescent) the ""rings"" seem to be just those (cheap) little silicone rubber bands sold in handi-craft stores that are woven together (mainly by younger people, it seems) to make rings and bracelets. Yeah, some of those are sold as glow-in-the-dark. My point is that after a few minutes in the dark, I've seen matches brighter than these -yeah UNLIT matches!

One more thing - if you use 14500 Li Ion batteries: EBL 14500 Li-ion Rechargeable Batteries 3.7V 800mAh for LED Flashlight Torch, 8 Packs most of these are what is called ""unprotected"". In this case, it means if their voltage goes down in the flashlight, they are probably going to be damaged and may never again be able to be charged to full capacity - or at all. So this is my suggestion: if the ""bulb"" starts dimming or shuts off by itself: immediately open the flashlight and take out the battery. That way the flashlight cannot draw down its voltage any more. Since there's no circuit to protect your battery, you have to do it. This should help you protect your investment and continue to give you the nice bright light these batteries give with these flashlights.","Well-made, bright, and good deal."
0,0,Harris,One person found this helpful. Was this review helpful to you?, March 17 2018,5.0 out of 5 stars,"These flashlights are so valuable and they are very easy to carry, also they are very bright, i think i spent 10 dollars very worthy that hard to find another place!",These flashlights are so valuable and they are very easy to carry
1,1,Daniel Avina,Was this review helpful to you?, March 17 2018,1.0 out of 5 stars,1 works fine . the other blinks intermittently,one works the ot doesnt
2,2,Robert W.,Was this review helpful to you?, March 17 2018,5.0 out of 5 stars,Works great.,Five Stars
3,3,mdnike,Was this review helpful to you?, March 15 2018,5.0 out of 5 stars,Great product,Five Stars
4,4,PRT,One person found this helpful. Was this review helpful to you?, March 13 2018,5.0 out of 5 stars,"GREAt, compact flashlight. Nice quality",Five Stars
5,5,Amazon Customer,2 people found this helpful. Was this review helpful to you?, March 12 2018,5.0 out of 5 stars,Excellent deal for a pair of probably most efficient flashlights ever invented.,Five Stars
6,6, A,Was this review helpful to you?, March 11 2018,1.0 out of 5 stars,Already no longer working after minimal use.,One Star
7,7,KBOWDRUMS,2 people found this helpful. Was this review helpful to you?, March 10 2018,5.0 out of 5 stars,Great little flashlights.,Five Stars
8,8,MDD,Was this review helpful to you?, March 9 2018,1.0 out of 5 stars,"I bought 2 and they worked great for 2-3 weeks then they quit working. Was using in a hot, humid climate. ( New batteries didn't help)",I bought 2 and they worked great for 2-3 weeks then they quit working
9,9,Eric,Was this review helpful to you?, March 4 2018,5.0 out of 5 stars,Very bright flashlight. Used at the beach walking at night looking fir shells. Decent battery life,Good flashlights for the price
0,0,Jaidmaster,Was this review helpful to you?, December 2 2013,4.0 out of 5 stars,"A few cosmetic blemishes, but works well. Great deal for the price! Mine came marked as UltraFire / CREE. Thanks!",Great for the price!
1,1,Jim E,Was this review helpful to you?, November 29 2013,5.0 out of 5 stars,A most amazing little flashlight. And it runs on just 1 AA battery. I just ordered several more and will use them as gifts at Christmas time.,Excellent Flashlight
2,2,M. Cox,Was this review helpful to you?, November 29 2013,5.0 out of 5 stars,"This is a great little light. It is cheap to run on 1 AA and the zoom is excellent. However, the manufacturer's claim of 300 Lm is over the top, the actual brightness is about half (depending on type of battery). Keeping in mind the price and a single AA to operate - this is a fine value in a small light weight, zoomable, BRIGHT light.","Small, bright, and cheap - I love it!"
3,3,James L Bolen,Was this review helpful to you?, November 28 2013,5.0 out of 5 stars,"Nice Little flashlight,AA battery goes in the light The adjustable works good , The Mini Cree Led Flashlight Works For Me James L Bolen","SODIAL (TM) 7w 300lm Mini Cree Led Flashlight Torch Adjustable Focus Arived Befor Time ,Thank You Jim"
4,4,~Peter,8 people found this helpful. Was this review helpful to you?, November 26 2013,1.0 out of 5 stars,"I've now ordered 90+ of these Q5 flashlights as gifs and personal ise from several different vendors here on Amazon.com.
Generally, I've been quite pleased with the quality and price.

That said, the Cree Q5 adjustable focus LED flashlights I received from this vendor are of poor quality overall.
I ordered 20 of the flashlights and 15 of them must have been seconds or even third quality.

The hex head screws on some of the clips have been replaced with Phillips head screws and even these Phillips head screws were damaged from the install .... like they were forced in.

Some of the lights have mix-n-match screws, others not. Many of the lights showed scratches from previous use. Not what I expected ... not even close.

Even the boxed packaging with bubblewarap inserts shows signs of previous use - tape pulled off, crushed, etc.

Generally, I think this lot of Cree Q5 LED was of poor quality (2nds or worse) as I said above.

I personally wouldn't order from this vendor ever again - no mater what the price stated.

BEWARE, some of the vendors for these flashlights are better that others ... this one seems to sell items of poor quality and passes them off as 1st quality. They are not even close.

I hope this information from an experienced customer of these flashlights helps.
I read these reviews to help me make an informed decision - I hope you do as well. They have proved quite handy.

If I should receive any satisfaction from this seller I will do what I can to update this review to something better.
I don't expect that I will though. We'll see ...

Others I have ordered from have received rave to good reviews - quite the opposite with this seller. D+ at best.","Generally, I think this lot of Cree Q5 LED was of poor quality (2nds or worse) ..."
5,5,CDL,Was this review helpful to you?, November 26 2013,3.0 out of 5 stars,"For $3.50 including shipping, what do you expect? It is bright, but not dimmable. It can be focused, but there is no way to hold the focus so it just slides around. I wrapped rubber bands around mine. Great x-mas stocking stuffer.

Oh, its bright, but not 300 lumens. Its a single AA battery after all.

Update: I read a few more reviews and there was a lot of talk about being able to dim these lights by a half press on the button like most flashlights.

I tried it on the 2 that I have and they definitely do not dim. Maybe the latest batch do? Once again, its cheap and bright, but dont expect too many features from a $3.50 flashlight.","Bright, cheap but its a $3 flashlight after all.."
6,6,and,Was this review helpful to you?, November 26 2013,5.0 out of 5 stars,These little lights are so good I love them they are so cheap but so bright great light to carry in your pocket at all times!!,Great little but bright lights!
7,7,N. J. LACROSS,Was this review helpful to you?, November 24 2013,5.0 out of 5 stars,"This flash light is pretty ridiculous. It's very powerful for its size and its single battery seems to last it forever. I even like to use this as a little portable lamp in my room at night time, and i have left it on all night before by accident and still didn't have to replace the battery.
This product is highly recommended.",Absolute must have for anyone who needs a flash light ever.
8,8,mph,Was this review helpful to you?, November 22 2013,4.0 out of 5 stars,"Great little light. what i don't like is that they are shipped in buble wrap and the boxes get chrushed.the lights all worked,but I give them away as gifts sometimes. Its not real impressive to give some a gift in a crushed up box!",Good light- bad shipping.
9,9,Steve,Was this review helpful to you?, November 21 2013,5.0 out of 5 stars,"You'll need to buy several more.
I started with one, now I own 6 and plan on buying more.
VERY bright little flashlight when you use the lithium AA battery.
Being able to focus the beam is helpful if you want to light up something far away.
I keep one in several drawers in the house, in the camper, in both vehicles, backpacks, etc...","Buy more, you'll need 'em"
0,0,Sondra Burnham,Was this review helpful to you?, November 20 2013,5.0 out of 5 stars,The brightest small flashlight I've ever seen. Love that it covers a large circumfrance. Small enough to just pop in yyour pocket.,Great flashlight
1,1,Jerr,2 people found this helpful. Was this review helpful to you?, November 14 2013,1.0 out of 5 stars,"These flashlights are junk. They are supposed to work on either AA or Rechargeable 3.6V batteries. If you put the AA battery in there is very dim light. No better than a pen light you can pick up anywhere. If you put in the rechargeable battery, the flashlight only works for 10 minutes, gets hot and quits. I bought the first 3 lights from EggDeal. It took 5 weeks to receive them, and they looked like a quality product. So, I went back to the same location and ordered 5 more, for gifts. In addition I ordered rechargeable batteries and a charger. The 5 I received this time (Tosol 8888) were garbage. No names on the sides, poor paint jobs, dirty lenses and rough machining. The rechargeable batteries wouldn't work in these lights either, and they were even dimmer on AA's than the first batch.
Now I' m stuck for the $25 I spent for batteries and a charger, as well as $30 I spent for these lights. Guess I should have heeded the other one star reviews.",Total Garbage!
2,2,Chris Bornhorst,Was this review helpful to you?, November 13 2013,5.0 out of 5 stars,An amazing light for the price. I buy lots of edc lights for testing and this is up there with almost all of my 30 to 40 dollar lights,Awesome
3,3,remington,Was this review helpful to you?, November 13 2013,4.0 out of 5 stars,"I already had one & liked it,wanted to get additional ones, however these are a little different .It doesn't pulse on the 2nd click as expected.",not as expected
4,4,terrell48,Was this review helpful to you?, November 13 2013,4.0 out of 5 stars,"Sees like a good light so for, it is pretty handy due to its small size if you carry a light with you, the design fo beam adjustment is not my favorite, but based on its size it puts out a good amount of light, the price is very good as well and I have had this light for quite a while now and it has continued to be very good, I have used several times. it is not my main light but purchased to carry with me because it is so compact and I have used it enough now to gain confidence that it is dependable.","Compact, bright and reliable"
5,5,Dustin G.,Was this review helpful to you?, November 11 2013,5.0 out of 5 stars,"For the price, these are great! Very bright for one AA battery. Better than many of the higher priced lights I have tried.",Great little light
6,6,Ken,Was this review helpful to you?, November 10 2013,3.0 out of 5 stars,"I don't tend to like magnifier focus flashlights but for under four bucks, I figured I'd get a few extra flashlights. These are fine. Of the three I received one of them seems to have a poorly threaded end cap, but it gets on there... QC, through Quantity, I guess they call it. Not going to bother with returns etc... as it works, and it wasn't worth any hassle sending it back. Magnifier is typical for a flashlight of this type. You can focus it until you can see the outline of the LED chip on the wall. Brightness is just average. My take is it's good for extras to throw in the tackle box or glove box, Nice for <$4 stocking stuffers, but of course, not even close to replacing a decent EDC type light (and of course, nowhere near the price). Ok for what it is, worth the price, don't expect more.","Inexpensive, ""cheap"", but they work."
7,7,omario,Was this review helpful to you?, November 9 2013,5.0 out of 5 stars,Best bang for the buck period! Great light output and lasts a long time. This is a must have item.,awsome
8,8,sgtrvn1,Was this review helpful to you?, November 9 2013,5.0 out of 5 stars,"Amazing,,,,,,i vowed never to buy anything from China again. But when a friend showed me this I was amazed. It produces the light of a flashlight three times its size. I bought five. Same quality, same light, same durability. I intend to buy more. I put one in the car, house, attic, and gave away the other two. Buy this, you can't go wrong.",absolutely amazing
9,9,JGLLO,Was this review helpful to you?, November 6 2013,5.0 out of 5 stars,"Bought 4 of these from Tosell888. They all worked perfectly. These only have on/off function, no other modes. They seem solidly built and put out a good amount of light. The lens slides forward and back to change the size of the beam.",Worth the price.
0,0,Marle,Was this review helpful to you?, November 5 2013,5.0 out of 5 stars,"Arrived on time, although it did take about a month. Good, bright led light. Small and compact which makes it easy to carry around and store. Inexpensive and well worth the price. This is my second one.",Good light
1,1,drupylv,Was this review helpful to you?, November 2 2013,5.0 out of 5 stars,1 aa battery and this thing is so bright. Plus it ha three modes a full power mode a less power mode and a strobe mode.,3 modes super bright and only one aa battery needed get this
2,2,rian S,Was this review helpful to you?, November 1 2013,5.0 out of 5 stars,This is a prize! I carry it with me where ever I go; have dropped it a few times--but it is tough and I am starting to depend on it alot.,satisfying and better than expected.
3,3,Don,Was this review helpful to you?, November 1 2013,5.0 out of 5 stars,"I bought 10 of them. Just for my household. My friends like them so well, they bought them all from me. I need to order 10 more to replace the ones meant for my family at home.",Great product. Excellent price.
4,4,Ed,Was this review helpful to you?, October 31 2013,5.0 out of 5 stars,"It is a powerful, acceptable workmanship flashlight.
Great small flashlight for all purpose usage.
Can't beat the price for this performance.",Love it
5,5,TangoDeltaDelta,Was this review helpful to you?, October 30 2013,5.0 out of 5 stars,"He loves the brightness and focusability of this nice little and inexpensive Cree LED light. He carries it almost everywhere. Seems rugged enough to stand up to every-day-carry-in-your-pocket use from a teenage boy, so I'd say it's tough and pretty well made.",My teenage son loves it!
6,6,Jon,Was this review helpful to you?, October 30 2013,5.0 out of 5 stars,"This light is a great size. I'm not so sure its 150 lumen, but it is very bright. I like how it only uses 1 AA battery. It comes with a decent belt clip. Adjustable beam is handy. Out of 5 I have ordered, 2 have 3 modes, low, high, and strobe. Some have no modes. Some come in a box and some dont. They are all CREE LEDs though, nice and bright. For the money this light is a great value.",Great little light
7,7,James P. McDonough,3 people found this helpful. Was this review helpful to you?, October 30 2013,1.0 out of 5 stars,"I ordered 2 of these, one showed up missing a screw on the clip, the second has screws that do not stay in. I ordered these because of the clip. I will epoxy new screws in, but I should not have to with brand new merchadise",poor quality
8,8,KC Compton,Was this review helpful to you?, October 20 2013,5.0 out of 5 stars,"Very bright, very powerful, can focus the beam
Works much better than those 9LED jobbies from lowes for about the same price

Chews thru a 14500 Li Ion battery pretty quick",Great little flashlight
9,9,walter,Was this review helpful to you?, October 15 2013,4.0 out of 5 stars,Good light for price. But only outputs 200 lumins not 300 lumins as advertised. Overall review is 4 star .,good light for cost
0,0,Canoe Man,One person found this helpful. Was this review helpful to you?, October 12 2013,2.0 out of 5 stars,When this worked the light was awesome. Very bright and good distance. The switch on 2 of the 3 I ordered quit after a couple of months.,Low Quality
1,1,Robert E. Kirk,Was this review helpful to you?, October 9 2013,5.0 out of 5 stars,This is one bad a$$ flashlight. Blows away led lights 10 to 1. I used to like the free Harbor Freight LEd's but compared to this flashlight they are pretty useless. The zoom is super bright to about 60 feet or more. Very well constructed and fits in my front pocket. I ordered 4 extra to replace all of the other flashlights I own. The price is fantastic.,BRIGHT!
2,2,rian Hariot,3 people found this helpful. Was this review helpful to you?, October 9 2013,1.0 out of 5 stars,"by the picture it would appear to be a good light but when I got it it was flimsy plastic, and ready for the trash
DON'T BUY THIS!!!!!!!!!!!!!!!!!!!!",this is a piece of Junk
3,3,Davey B.,2 people found this helpful. Was this review helpful to you?, October 6 2013,4.0 out of 5 stars,"I've owned three of these flashlights to date. The first one lasted about 9 months. I used it on the job, working in mechanical and boiler rooms, and it had a couple of moderate falls (4 feet or less). It continued working after those falls, but one day I found it simply wouldn't turn on. Looking inside the battery tube, it looks as if the surface where the positive terminal of the battery is supposed to contact has been worn away. Can't say for sure what happened, but I ordered two to replace it. They are cheap enough that I'd rather have a backup than have one fail and be caught without a light source.

These are very tactical looking, but they are NOT built with tactical uses in mind. I certainly wouldn't trust my life to one of these lights. They are great for the money, but you do get what you pay for. Speaking of which, this light is nowhere near 300 lumens on a standard AA alkaline battery. With a lithium battery, it's definitely brighter, but it's still not 300 lumens. I'd highly recommend using a lithium cell with this light, both for the brightness advantages and for the ability to recharge your battery since these will run through a standard AA decently quick.

Last thing to mention - I LOVE the beam adjustment of this light. It's extremely easy to operate one-handed, and you can change the focus of the beam very quickly since you are pushing/pulling the lens assembly instead of turning it. This also lends itself well to being able to maintain a better grip on the light while adjusting the beam. At the tightest focus, you do get a square light pattern like you see in some of the customer images, but I've grown to like that. On a dark night, it's like having a miniature spot light, the beam focuses so tightly.","Nice budget flashlight, but needs lithium battery to really come alive"
4,4,D. Williams,2 people found this helpful. Was this review helpful to you?, October 3 2013,5.0 out of 5 stars,"Here are a few words: You won't believe what this thing does with its self-generated light!

After one, count 'em one AA battery (who cares if it's not provided!) is slipped into this little giant and it's put all together again, the push of a rubber-protected red button (about 3/4 the size of a man's thumb pad) on the opposite end of a case containing a convex lense and ""let their be light"" just seems an inadequate description.

The SODIAL Hausbell Mini Cree LED Flashlight Torch (got enough words in there? Might be room for a couple more) shines by using an adjustable focus convex lense that delivers a nearly gradient-free light beam that when held three-feet high broadcasts a 24"" diameter, really, truly round light beam. Remember the shadows in other flashlights that seem to hit at exactly the WRONG place? This has none. Period. None.

If you need a pinpoint beam, well, this does a darn decent job, too. A user can easily discern individual chunks of pine bark on a tree 50-feet away. At twice that distance the penetrating bean shines well into whatever woods may be in front of it.

Already having one spot too many burnt on my retina, I'm not about to try a ""blinding"" light. But I'll bet it does. Enough, one fears, to blind an intruder or attacker. Really. But keep in mind that a youngin' lacking sense may also blind himself or another person. So keep this thing out of such hands.

This thing rates ""very cool.""",Lightin' Up Life
5,5,Matt Dalton,Was this review helpful to you?, October 2 2013,5.0 out of 5 stars,"I ordered two just to see how much I would like this light. This is a really good light to keep in the backpack, car, or just around the house. A few sharp edges on it, so around children might need some attention. Granted the machining isn't flawless, but considering it's a $4 light I am really impressed. A coworker talked me out of one of the two lights and a few others in the office bought them after seeing it in person. I am about to go order a few more for myself.",Excellent flashlight
6,6,michael nichols,Was this review helpful to you?, October 2 2013,5.0 out of 5 stars,"Cant beat this light for the price. solid and super bright. I got 3, and i think i need 3 more.",hard to beat
7,7,Yotedowner,Was this review helpful to you?, October 2 2013,5.0 out of 5 stars,Unexpected quality for a flashlight under $4.00. I use a 14500 rechargeable battery and it is very bright. The zoom is a nice feature. I have recommended this to everybody I know. Shipping was faster than stated.,Better than expected
8,8,Pilot,Was this review helpful to you?, October 1 2013,5.0 out of 5 stars,"This is a compact but powerful little flash light. It fits in the palm of your hand, but lights up the dark with a powerful light for it's size. I have purchased a few of them, I keep on in the car, house, backpack, etc... It only needs 1 AA size battery. I recommend it for it's power, compact size and great price.",Great little flashlight!
9,9,Mr C,2 people found this helpful. Was this review helpful to you?, September 25 2013,4.0 out of 5 stars,I've purchased 6 of these before. this is the first one that didn't have the 3 function power switch. This seems to be a common issue but people never realize there are several sellers of this light. This one I bought from seller tosell888. He had the longest shipping time and no 3 function switch. The light also doesn't seem as bright as my other 3 function units. I would say its in between the hi/lo setting of the 3 function using a lithium energizer aa battery.,different seller.... different products
0,0,Nathan R. Jessup,Was this review helpful to you?, September 23 2013,5.0 out of 5 stars,"This thing is BRIGHT! For such a small light using 1- AA battery, the output is insane. The lens is adjustable and goes from flood to a blinding square spot beam. Seems to be decently made, overall I am happy.",Very Bright
1,1,Moses Jones,Was this review helpful to you?, September 21 2013,5.0 out of 5 stars,what an awesome product for such a great price. I definitely recommend for buy. Took awhile to get though. :),Great product!
2,2,Alaa,Was this review helpful to you?, September 19 2013,5.0 out of 5 stars,"It's created from metal not plastic, and it's a good quality, it has only one mode not three modes (unless if there is a secret way to run it) pressed the button many times but it give only one mode. you can change the zoom of light or the focus of it by moving the above part up or down which gives you different zoom and focus of the light.
It give a nice light even when try it with a used AA regular battery ( not the chargeable kind ).
For home use or car check or outdoor for close area, it's really a nice choice for it's price. 300lm or 200lm or whatever it says, the bright of this light is far enough to let you see in the dark. and for it's price, it's a must to be in your car/home.
Note: About the seller, this product arrived to an international address even before 6 days from the last day of the estimate time for the shipment. and they ship it protected well with protection foam and included in a protect bag.

Addition: I would like to add that the one mode that this flashlight has, is a good feature, as sometimes it's annoying when you want to turn on/off the flashlight and you have to go through all the modes. so I found it having one mode as a good feature for me ( I already have another head flashlight with different modes, it's nice, but need to press the button 3 times to turn it off) this one is not and i start to like it this way.",Great for it's price
3,3,anon,Was this review helpful to you?, September 15 2013,3.0 out of 5 stars,"I got three of these. For the price...why not. I gave one to my son... age 8 years old.
It lasted less than 24 hours. The other 2 are still working.",you get what you pay for
4,4,M. Greene,Was this review helpful to you?, September 11 2013,5.0 out of 5 stars,"Great little light. It has a tight, CRISP focus (~4"" at 6') and is much brighter than I expected it to be.
Three fuctions: High, low, and strobe",Quite nice
5,5,SHENG-HUI JEFFREY CHU,Was this review helpful to you?, September 11 2013,4.0 out of 5 stars,This flashlight fits in my palm. It has simple push button to turn it on or off and the zooming control on a ring. No other control options which is exactly what I needed. It has a single LED with a powerful lens to focus the light into a beam. the light is pretty bright even when it's powered by a regular AA battery. You can control the zoom by pulling the ring which is about quarter of the full length of the body.,compact easy to use.
6,6,Amazon Customer,4 people found this helpful. Was this review helpful to you?, September 9 2013,1.0 out of 5 stars,"I didn't expect much, but I did expect to receive a product that functioned as advertised. This light has no way at all to focus the beam. For now it works up close, but spreads so much at a distance as to be useless.

It turns on and off, but just about the time you can feel the button under your finger the switch opens and it turns off. If I was to bet on it, I'd say this switch will stop working within a couple of weeks. I'd send it back, but it's not even worth the effort.

JUNK.",Not as advertised - no way to focus
7,7,Jason Liebl,Was this review helpful to you?, September 9 2013,5.0 out of 5 stars,"This is a great little light for the money, will order a few more soon just to have around the house.",Great little light
8,8,Strike,Was this review helpful to you?, September 6 2013,5.0 out of 5 stars,"This flashlight has a lot of good things going for it. It's inexpensive, bright, zooms, feels solid and looks rugged. I highly recommend it.",Inexpensive and bright.
9,9,deezTx,Was this review helpful to you?, September 6 2013,4.0 out of 5 stars,"it's not the lumens it says it is, I am not sure if I like the zoom in and out option to make the light broad or pinpoint, on the extreme pinpoint setting, you can actually the reflection of the LED bulb ... but for the price, I am not complaining, pretty darn bright and solid metal design along with compact size ... great for emergency spots like car, tool box, fishing, hunting, power outage, camping, etc... do not use this for tactical / law enforcement or military... I guess you could but I would not trust it to work in all conditions such as those, it's made in china...",Well worth the money ...
0,0,PirateBob,One person found this helpful. Was this review helpful to you?, September 5 2013,2.0 out of 5 stars,"I figured, what the heck. Took a chance only due to the fact it has an adjustable beam. Light output it pretty weak in my opinion. The clip broke immediately. The only thing this has going for it is its size. Go to Costco and spend 15$ on a pack of three flashlights WITH battery's!",Spend a few more bucks at CostCo
1,1,NameRequired,Was this review helpful to you?, August 29 2013,4.0 out of 5 stars,"Decent light output, especially for the cost. Has adjustable focus, and uses standard, triple A battery. Can't go wrong for the cost, highly recommend!",Good
2,2,Noel the Pilot,Was this review helpful to you?, August 29 2013,5.0 out of 5 stars,"Got them for all my coworkers who are required to carry a flashlight. Great units, and the bright orange tail buttons mean I can see when people are carrying them around in their bags. Excellent light for the money, didn't yet get the more powerful battery but that would almost triple the cost of the product.

Great buy, wish they were made in the USA.",Great holiday gifts
3,3,ROSALINDA MUNOZ,7 people found this helpful. Was this review helpful to you?, August 28 2013,1.0 out of 5 stars,"ordered 1 light i was the 3 seting hi low and strobe with the cree logo on the side , then ordered 4 more and they are not the same light! this lights they only have one mode and they dont have the cree logo on the side!! i feel screwed! bad seller that lie to ppl!",Product switching going on here.
4,4,Francis J. Schaefer,Was this review helpful to you?, August 26 2013,5.0 out of 5 stars,"Excellent product.....excellent service. This is a professionally made, durable product. I recommend this to anyone looking for a dependable flashlight.",Excellent Service.....will use it again
5,5,Jon,Was this review helpful to you?, August 26 2013,5.0 out of 5 stars,I bought a bunch of these to keep around the house in case of a power outage. They are very bright lights and the focusing is nice to have but I very rarely use. The multiple modes are nice too but again I barely use those. The light is very small and portable so it's easy to clip it or prop it up somewhere while you work. I've had one of them I've been using the past few months while doing house work and haven't needed to change a battery yet. I recommend these to people I know if they are looking for lights.,Great flashlight
6,6,tom,Was this review helpful to you?, August 26 2013,5.0 out of 5 stars,"Really impressed with this flashlight given the small size of it. It's adjustable so you can extend the front of it to light up more surface area or return it to normal position for more direct light. It also has a ""strobe mode"" where it flashes very quickly...you know, in case you want to have a dance party with it.

In all seriousness, you can't go wrong this little guy...The casing is also very solid and the quality is there, doesn't feel cheap whatsoever.

2 Thumbs up!",Light 'em up up up!!!
7,7,KyleStyle,Was this review helpful to you?, August 22 2013,5.0 out of 5 stars,"I keep this tool grasped in my fist when walking through dark parking lots in downtown Atlanta and feel much safer.

Even during the day the beam from this light will temporary blind you. The edge on the front is enough to hurt someone if used correctly.

For those of you who actually use it as a flash light, it is nice for that too. The front telescopes in and out to adjust the focus of the beam, and the clip works good for belt or vest (I also wore this on my vest in Afghanistan).

As I'm writing this review I am buy 2 more, one for each vehicle.",Great self defense tool! Very bright!
8,8,L. Marchesani,Was this review helpful to you?, August 20 2013,5.0 out of 5 stars,"This small flashlight puts all my other ones to shame. I used a regular AA battery, but will get a brighter lithium battery later. I bought five and didn't get enough. It's hard to believe the high quality for the rather small price. My husband gave it kudos, too. Friends and family will get one of these as a Christmas stocking gift. So, I'll need a few more soon.

It took a minute to find the opening for the battery on the top. It's a small item, so it's easy to overlook.

The flashlight is shipped from Hong Kong, if you want one, plan on as long as two weeks to receive them. Mine took about a week and a half.","Very Solid, Very Small and Very Bright"
9,9,mister78,Was this review helpful to you?, August 13 2013,5.0 out of 5 stars,I look at this flashlight as a handy-dandy source of light which can be adjusted to narrowly light a small area or it can be adjusted again to light a larger area. When have you ever seen something like this? Thanks,It's is within my reach should I need it.
